Exp,Pred
5.39794,5.529716465791066
5.0,5.064743048647676
5.899998,5.555512805724967
6.7999983,5.5884584005962
5.3,5.399852597372766
5.0,5.93521493886009
6.0,5.723426245253496
6.299998,6.452376841467466
8.10018,8.295382157754416
5.6001534,5.647279208118422
5.5999994,5.63148872243197
5.4999995,5.638209817489082
5.8000007,6.080480961871431
5.1,5.415618791918676
5.3000755,5.321013597812308
5.4999995,5.638110683540475
5.4,5.402939035716576
5.8000007,5.8073036447371225
5.6001534,5.539876180696057
5.3,5.359121250951676
5.0,5.118856717136031
7.0,6.418686446611221
5.2000003,5.311264753677689
5.5999994,5.712489049549348
5.5999994,5.7175723529403655
6.2006593,6.2407769651190605
5.0,5.084419040280836
5.3,5.424875536565834
5.8000007,5.770890409206157
5.1,5.560208396475023
5.2000394,5.1404955562208245
5.1,5.261666068953598
6.3999968,6.431320855322387
5.0,5.874671067543016
5.4,5.45426482817584
5.0,5.102634909022226
9.0,8.504101486609096
5.3,5.371421603683321
5.4999995,5.585010262221772
5.4,5.848809198695748
5.4,5.978037100279358
5.3,5.297994445409999
5.7000003,5.833696181872532
5.8000007,5.796979925312968
7.5999804,8.17527148470992
7.958607,8.20719025951684
6.0,5.860213295172445
5.8000007,5.79947278310108
7.1000156,6.436626276116651
5.8000007,5.835238616526172
6.1999984,6.205434966742269
8.09691,7.306771138827005
5.4999995,5.576368560660652
5.8000007,5.802454504370109
5.4,5.6994578435837635
7.69897,7.491112816142221
5.4,5.425487910386603
5.800245,5.7632046181061565
7.5999804,6.422762796572766
5.9003196,5.537275355771564
5.2000003,5.79820235240588
5.8000007,5.779365744271695
5.7000003,5.788955504853726
7.192465,7.606133730560073
6.1999984,5.878380119744778
5.7000003,5.756287702101255
5.9956784,7.369395154039065
5.1,5.460579472834573
5.4,5.584844736191709
6.099999,6.555736465426675
8.823909,8.074593442464073
5.8000007,5.857999259637823
5.3000755,5.393797239683994
5.1,5.439762136010998
5.1,5.267771120048476
5.4999995,5.521130046863854
5.1,5.441245348710159
5.1000156,5.114245819094972
6.1999984,6.2397964351957
5.0,5.848414388187925
5.2000003,5.317420909476392
7.7999706,6.484038546350267
5.2000003,5.440188180216624
7.1999707,6.717783739102678
5.4999995,5.623219828019386
5.8000007,5.834488910360926
8.400117,6.994845118293383
4.90309,5.336922778697458
5.2000003,5.14461894066701
9.19997,7.569650133008721
5.3,5.463667629641228
5.1000156,5.120837574193308
7.30103,7.279546942055372
5.1,5.108703822324978
5.2000003,5.142304832997144
6.9000087,6.005063508395799
5.1,5.159453135086883
5.4999995,5.508655329957723
7.7447276,7.96971319410536
5.700057,5.689511665494349
5.4999995,5.689038859010205
6.1001797,6.020218451193873
4.4,5.155667975729443
7.1999707,7.729555401735835
5.8000007,6.149542231224145
5.3,5.4972399246398576
5.8000007,5.7077694298154436
5.1,5.62584514822011
9.09691,7.998724807139377
5.7000003,5.732686709996469
8.19997,7.847498904311471
5.0,5.2081278635483965
5.1,5.174261906459862
5.7000003,6.137374326135392
5.2000003,5.6530762331931275
5.1000156,5.097503029428189
5.4999995,5.747562656700999
5.7000003,5.65370786633155
5.1,5.4549637772286825
7.102373,7.043961781816823
5.7000003,5.582222668676062
5.2000003,5.47583126476501
5.9003196,5.67467135581145
7.0,6.878500116940629
5.1,5.207970080629691
5.1,5.202115347398212
6.0,5.8081426705664425
5.1,5.508483601797376
5.4999995,5.340647059340511
5.800245,5.974611433792169
5.2000003,5.3986910294184085
5.8000007,5.831931209436893
5.8000007,5.7242126508020785
5.8000007,5.888441799473119
8.522879,7.416448789444515
5.2000003,5.739156411939121
5.0,5.091379512328952
5.4,5.508790342011545
5.4000077,5.4548507563831095
5.8000007,5.639837398710334
5.1000156,5.127664964247295
7.4202166,8.126518459743926
6.0,6.651022166359623
8.040958,7.71623526721972
5.3,5.447639497959979
5.899998,5.795909563415873
5.4,5.7292741284650335
7.6126103,8.033162015820308
5.5999994,5.667382371056057
5.2000003,5.278542012141614
6.0,5.820000461936376
4.7000003,4.923180023648123
6.6999917,6.317046618040099
5.0,5.013914261792782
6.2006593,6.0558763740063535
5.899998,5.925430665044698
5.2000003,5.721232241599428
5.4,5.427387690837844
5.1,5.145259427356644
6.6999917,6.498010860530016
6.299998,5.831488223940615
5.1,5.254266743491493
5.4,6.1152057957005885
5.5999994,5.96708810891744
6.3999968,6.184938822154015
7.4000077,7.1285894572818185
5.8000007,5.793372584317164
5.0,5.03545883385286
5.4,5.412653772543671
5.1,5.596447146679139
9.400117,8.933509793678917
5.8000007,6.164609089569954
5.8000007,5.86834934086849
6.5999975,6.085398436883357
5.800245,6.057533788928851
6.0,5.518360593838667
5.8000007,5.798042487935382
5.5999994,6.035608273693178
5.0,5.064826798063974
5.8000007,5.878171830651941
5.5999994,5.634470722865242
5.7000003,5.580202077601427
5.1,5.130552244724494
5.8000007,5.853911802181595
5.0409584,5.036090487701552
7.4000077,6.797702925596291
5.700057,5.718971683077213
5.0,5.034333977877864
8.19997,7.281772122740747
5.4999995,6.089697396445658
5.0,5.085112414007966
5.899998,5.204671648795891
5.899998,5.76533219094408
5.700057,5.981819119605151
6.5999975,5.800841571753693
6.299998,6.174848215518278
5.5999994,5.705694584337906
5.1,5.458038001952352
7.1999707,6.849122036734013
6.299998,6.094059255754848
5.1,5.3348357216249855
5.4999995,5.500786979334815
5.3000755,5.316265639276364
5.1,5.63980283417348
5.8000007,5.812916400692964
6.099999,6.100556703709828
5.4999995,5.736043758572875
5.1000156,5.096001635484302
7.8999743,7.089069110588363
5.3,5.3165714344540556
5.500038,5.566805080552338
5.823909,5.9355751016934715
5.800245,5.798951885306474
5.4,5.887910220150755
5.899998,5.700810893436876
5.4999995,5.646953180152174
6.0,5.768622439808271
10.49485,9.765779827836958
7.500038,6.05565580783813
5.0,5.095593220806406
5.1,5.10233444367907
9.079355,9.28087396318004
5.2000003,5.635520565302073
5.700057,5.758186422154204
5.8000007,6.182340721949644
5.0,5.101394712937176
5.0,5.166293855016049
7.102373,5.884485894188028
7.4089355,7.718770347573455
9.69897,8.303841241604154
7.2999887,7.470034624987178
5.4,5.423836169105027
7.1000156,6.849608295043781
5.4999995,5.200973106012356
5.3,5.204647477476553
6.801343,6.418555114424703
8.300162,6.891756254478106
5.2000394,5.2752919444629525
5.2000003,5.615281691809268
5.2000003,5.2041821255604
5.1,5.4527114822912335
5.2000003,5.57935769591297
8.022276,8.18848316335678
4.8000255,4.8742033975578405
6.299998,6.386949419254642
6.041436,6.168906123629176
5.1,5.109125857525625
5.4000077,6.715738731695444
7.309804,7.004557026344892
5.1000156,5.131836243609677
5.0,5.6769777820496765
5.4999995,5.961325919774083
5.899998,5.8866993158630425
5.2000003,5.3089413790883615
5.5999994,5.797858605269547
5.1,5.104868179958181
5.4,5.498246365871567
5.1,5.109762182616934
6.5999975,6.532596277602723
5.5999994,5.597269848918916
6.600326,6.441933410708865
4.1000047,4.3994314730999955
7.102373,5.918460007337409
5.899998,5.526403769773524
5.8000007,6.07112295352995
6.499997,6.6447053587932094
5.0,5.0428972774574685
5.1000156,5.185506380359532
4.1,4.83705854676757
5.1,5.284223158578009
6.1999984,5.378071860846797
5.8000007,5.88015909928693
5.1,5.457342074661951
6.1999984,6.923958832807675
5.800245,5.822042588966047
5.4,5.440960146638119
5.8000007,5.949285510658155
7.0,5.9662931297517305
5.0222764,7.056354335761527
5.3,5.456860591628384
5.4000077,5.484012605919541
7.1000156,6.9253189031969065
5.3,6.002202318822896
6.499997,6.057261346124311
6.801343,6.904766380960348
6.7999983,6.706733068038155
5.7000003,5.758917085907726
5.899998,5.714581450120405
8.3,7.509562775019825
5.39794,5.425833120544752
5.899998,5.8898600971543855
5.455932,5.640589346953264
7.8999743,5.771014123619437
5.3,5.068889551934261
7.5999804,6.230548087173037
5.7000003,5.724838726688167
6.499997,6.695688602931822
8.5,7.999068279124295
8.0,6.510647131483875
4.2,5.259019908174436
6.0,5.725269647882838
5.3,5.387096490724448
8.0,6.53495756536707
4.1,4.7242747652644
6.3999968,5.9071990107542085
7.0,6.340059385823247
7.1999707,6.911831299703687
6.400117,6.39455784267471
5.4,5.592638928652954
5.30103,6.1029644354793255
5.39794,5.46470308915774
5.0,5.759456895025126
5.2000003,5.875141403774627
5.5999994,6.055821456112516
5.5999994,5.4582232220850475
5.2000003,5.363765039859081
7.8860564,7.921267741180602
5.0,5.01401736023295
5.5999994,6.044503841824557
6.3999968,6.247267829916027
5.1,5.251782480058414
5.1,5.10050122191015
5.7000003,5.72307472554465
5.1,5.122378298094811
